"place_id","text","rating"
"0b10568015d253d7a446eea81905834b","mình vô tình đi ngang và thấy quán khá đông xe nên cũng tấp vào thử không gián quán không quá rộng nhưng sắp xếp bàn ghế bố cục rất hài hoà
đồ ăn tươi ngon và giá mình thấy khá bình dân nhân viên phục vụ ok ",5
"0b10568015d253d7a446eea81905834b","nhân viên ngọc thanh có thái độ khó chịu với khách hàng từ khi mới vào bạn ngoài ra bạn order thiếu món để cho tụi mình đợi khá lâu vậy mà khi được phản ánh thì chỉ tìm lý do biện hộ đổ lỗi do hệ thống thậm chí tụi mình chưa nói xong ",1
"0b10568015d253d7a446eea81905834b","mình mới biết quán này trung thu 61025",5
"0b10568015d253d7a446eea81905834b","nhân viên phục vụ rất tệ và vệ sinh chén đũa rất dơ",1
"0b10568015d253d7a446eea81905834b","bạn khang phục vụ nhiệt tình chu đáo món ăn ngon ốc nhồi hơi nguội nhân viên vẫn hỗ trợ hâm nóng lại",5
"0b10568015d253d7a446eea81905834b","mình đã ghé quán khá nhiều lần mấy bạn nhân viên phục vụ tốt dù quán đông nhiệt tình không đợi quá lâu 10đ nha quán cũng tinh tế nữaaaa",5
"0b10568015d253d7a446eea81905834b","mình ăn ở ngạn rất nhiều lần rồi lần này quay lại thất vọng vô cùng nhân viên tính từ lúc bước vô bàn ngồi lơ khách ra mặt lun mk kêu order món hơn 10 lần nhân viên nhìn rồi quay đi làm vc khác không order trong khi bạn mk nhìn vô trong thấy nv vẫn đứng nch và giỡn vs nhau một trải nghiệm đáng buồn và mất thời gian ",1
"0b10568015d253d7a446eea81905834b","miếng đậu bắp nằm như thế ngay trên thịt mà từ bếp đến nhân viên đều không thấy thậm chí lúc mình chụp là con sâu còn sống đã bò ra ngoài rồi nhân viên thì phải đợi hỏi món sao lâu vậy mới báo đang nhập về",2
"0b10568015d253d7a446eea81905834b","mấy bạn nhân viên rất nhiệt tình và chiều khách hôm nay mình mua mang về được mấy bạn nướng cho rất nhiệt tình dù quán đang rất đông đồ ăn rất ngon phục vụ 10 điểm",5
"0b10568015d253d7a446eea81905834b","nhân viên thân thiện nhiệt tình mới nhìn thôi là biết mình cần gì luôn một trải nghiệm tại quán vui vẻ",5
"0b10568015d253d7a446eea81905834b","lẩu bò mắm ruốc ngon thịt mềm
ốc bươu nhồi thịt dở vì nhồi chả cá của cá viên chiên chứ không phải thịt
bàn ghế quá dơ và mất vệ sinh làm dơ cả đồ và sợ hãi luôn sau đó thì các bạn ",3
"0b10568015d253d7a446eea81905834b","nhiều món nướng nhưng không cho rau chỉ tặng lần đầu thôi nên hơi kỳ kỳ",4
"0b10568015d253d7a446eea81905834b","lần đầu đi chi nhánh 2 món ăn ở đây được tẩm ướp đậm đà lên món nhanh không để khách phải chờ lâu thịt tươi vừa vị có nhiều loại nước sốt chấm tự phục vụ so với mặt bằng chung giá ở đây hợp lý phù hợp với học sinh  sinh viên hoặc ",4
"0b10568015d253d7a446eea81905834b","lần đầu ăn khá ngon lần thứ 2 cảm giác ko được ngon như lần đầu  1 vài món ướp hơi mặn món cơm chiên cơm hơi khô cứng nói chung cũng khá ok",5
"0b10568015d253d7a446eea81905834b","trải nghiệm tại quán tệ rau ko sạch salad trộn còn để lại xương",1
"0b10568015d253d7a446eea81905834b","ko thay vĩ nướng bị khét ảnh hưởng những món nướng sau đi cuối tuần ít nv ko đc takecare lên món nhanh nhưng kiu nv rất lâu ms đc nhờ nv gấp đá dùm nhờ 2 3 lần ms có ng hỗ trợ còn lại thì ok ko gian thoáng mát đồ ăn ok giá rẻ phù hợp sv",3
"0b10568015d253d7a446eea81905834b","khu vực đặt bàn ăn gần sát lối đi vô nhà wc dụng cụ ăn uống kh đc vệ sinh kỹ vẫn còn bám dầu mỡ bếp nướng bám đầy dầu vỉ nướng cũ đen",1
"0b10568015d253d7a446eea81905834b","cám ơn ngạn vì bữa ăn  hà lan hết đói rồi giờ hà lan có thể theo anh dũng lên sài gòn rồi",5
"0b10568015d253d7a446eea81905834b","phù hợp ăn tối cho gia đình và cặp đôi nhà có decor miễn phí á quý zị",4
"0b10568015d253d7a446eea81905834b","quán ăn đậm chất gia đình đồ ăn ít tẩm gia vị và thực phẩm tươi phù hợp cho những người không thích ăn mặn tuy nhiên là món lẩu thấy còn hơi ít đồ ăn còn mấy món thì ngon
pass wifi xincamon",5
"0b10568015d253d7a446eea81905834b","quán bàn ghế thì dơ thấy k ai dọn dẹp dô tới quán còn phải đứng chờ nhân viên thì rất tệ
nghêu hấp thái nước thì mặn hôi nữa vào quán thì nhân viên chỉ ngồi nhìn mà k ",1
"0b10568015d253d7a446eea81905834b","chén dĩa thì nhớt nhợt ly uống vẫn nhớt nhất là thìa ăn thì vẫn dính dầu ăn nhớt dínhđồ ăn thì ngon mình đi hôm qua và hôm nay nhân viên thái độ rất tệ nhất là nv ngọc thanh không biết bạn làm lâu chưa nhưng thái độ phục vụ rất khó chịu và ",1
"0b10568015d253d7a446eea81905834b","khách đông nhưng cũng không đợi quá lâu menu có nhiều sự lựa chọn vị vừa ăn nói chung cũng ổn áp",4
"0b10568015d253d7a446eea81905834b","hôm đám mình đi ăn lúc bếp chuẩn bị nghỉ bạn nhân viên giọng bình định order tư vấn món phục vụ rất nhiệt tình và vui tính đồ ăn rẻ ngon giá cả phù hợp mình sẽ ghé lại quán 1 ngày gần nhất",5
